long,lat,id,nombre,razon_social,cuit,tipo_de_boca,domicilio,calle_nombre,calle_altura,calle_cruce,barrio,comuna
-58.49181771449121,-34.582445816993605,1074,ASPRO,GNC LOS AMIGOS S.A.,30-64711854-9,GNC,"AV. DE LOS CONSTITUYENTES 4480 ESQ. VALLEJOS, CIUDAD AUTóNOMA DE BUENOS AIRES",DE LOS CONSTITUYENTES AV.,,MENDOZA,Villa Pueyrredon,Comuna 12
-58.4139586038227,-34.606223741128304,1076,ASPRO,GAS ING SOCIEDAD ANONIMA,30-64581284-7,GNC,"SARMIENTO 3412 ESQ., CIUDAD AUTóNOMA DE BUENOS AIRES",GALLO,,SARMIENTO,Almagro,Comuna 5
-58.371515709209795,-34.591480612187,84,DAPSA,DESTILERIA ARGENTINA DE PETROLEO S.A.,30-55025533-9,LIQUIDOS,"AVDA. E. MADERO Y SAN MARTIN, RETIRO - C.A.B.A.","MARTINEZ ZUVIRIA, GUSTAVO,",,SAN MARTIN,Retiro,Comuna 1
-58.4869134027637,-34.5678335083907,114,ESSO,SERVICENTRO CONGRESO - 158698,30-50691900-9,DUAL,"AV CONGRESO 4801, CAPITAL FED ZONA 5",CONGRESO AV.,4801.0,GALVAN,Villa Urquiza,Comuna 12
-58.4660714844294,-34.5622034826728,115,ESSO,SERVICENTRO DEL TEJAR - 158625,30-50691900-9,LIQUIDOS,"MONROE 3078, CAPITAL FED ZONA 5","BALBIN, RICARDO, DR. AV.",3078.0,MONROE,Belgrano,Comuna 13
-58.4053472830924,-34.6121409182196,117,ESSO,CORS ESSO PETROLERA ARGENTINA SRL,30-50691900-9,DUAL,"AV.JUJUY 164 Y ALSINA, CAPITAL FED ZONA 4","ALSINA, ADOLFO",,JUJUY AV.,Balvanera,Comuna 3
-58.490212971474286,-34.627491851768,118,ESSO,ANTONIO RODEIRO CALVO,20-93430342-4,LIQUIDOS,"SEGUROLA 809 ESQ. GAONA, CAPITAL FED ZONA 4",GAONA AV.,,SEGUROLA AV.,Floresta,Comuna 10
-58.4606196283127,-34.6142206946945,119,ESSO,JUAN CARLOS BARGIELA,20-13076767-3,LIQUIDOS,"AV. GAONA 2399 Y TRELLES, CAPITAL FEDERAL",GAONA AV.,,"TRELLES, MANUEL R.",Villa Gral. Mitre,Comuna 11
-58.443726601238396,-34.5703097768677,120,ESSO,SERVICENTRO CABILDO - 158594,30-50691900-9,LIQUIDOS,"CABILDO 695 ESQ. OLLEROS, CAPITAL FED ZONA 4",CABILDO AV.,,OLLEROS,Palermo,Comuna 14
-58.3761660822694,-34.6162991556142,122,ESSO,URANIA DE ROSARIO ELENA SICA,27-03419318-0,LIQUIDOS,"CHILE 702 ESQ. CHACABUCO, CAPITAL FED ZONA 1",CHACABUCO,,CHILE,San Telmo,Comuna 1
-58.44403879016,-34.5948303339949,123,ESSO,J. B. JUSTO S.A.,30-66172354-4,LIQUIDOS,"CORRIENTES 5793, CAPITAL FED ZONA 1",CORRIENTES AV.,5793.0,"JUSTO, JUAN B. AV.",Villa Crespo,Comuna 15
-58.450830158079796,-34.6062095600886,124,ESSO,SERVICENTRO LUIS VIALE - 158680,30-50691900-9,LIQUIDOS,"AV. SAN MARTIN Y LUIS VIALE, CAPITAL FED ZONA 1",SAN MARTIN AV.,,"VIALE, LUIS",Villa Crespo,Comuna 15
-58.42806431115089,-34.6219380305265,125,ESSO,SERVICENTRO ALBERDI - 158709,30-50691900-9,LIQUIDOS,"AV. LA PLATA 575, CAPITAL FED ZONA 1","ALBERDI, JUAN BAUTISTA AV.",575.0,INDEPENDENCIA AV.,Caballito,Comuna 6
-58.4966037821581,-34.5638353696806,126,ESSO,SERVICENTRO PARQUE SARMIENTO - 158654,30-50691900-9,DUAL,"AV. TRIUNVIRATO 5878 Y CRISOLOGO LARRALDE, CAPITAL FED ZONA 5","LARRALDE, CRISOLOGO AV.",,TRIUNVIRATO AV.,Villa Urquiza,Comuna 12
-58.4628694420381,-34.575092791875896,127,ESSO,JUAN CARLOS BARGIELA,20-13076767-3,LIQUIDOS,"AVDA. LOS INCAS 3550, CAPITAL FED ZONA 5",DELGADO,3550.0,DE LOS INCAS AV.,Colegiales,Comuna 13
-58.479310550670704,-34.6328810284541,128,ESSO,SERVICENTRO FLORESTA - 158629,30-50691900-9,LIQUIDOS,"AV. RIVADAVIA Y JOAQUIN V. GONZ, CAPITAL FED ZONA 7",ENSENADA,,"GONZALEZ, JOAQUIN V.",Floresta,Comuna 10
-58.4115175300141,-34.610290845836204,129,ESSO,SERVICENTRO ANCHORENA - 158623,30-50691900-9,DUAL,"AV. RIVADAVIA 3199 ESQ. ANCHORENA, CAPITAL FED ZONA 2","ANCHORENA, TOMAS MANUEL DE, DR.",,RIVADAVIA AV.,Balvanera,Comuna 3
-58.528822736973,-34.6465310955599,130,ESSO,SERVICENTRO GRAL PAZ CAP. - 158715,30-50691900-9,DUAL,"AV. GRAL PAZ KM. 15, CAPITAL FED ZONA 7",BOQUERON,,HUMAITA,Liniers,Comuna 9
-58.4733564456485,-34.6531395202654,131,ESSO,NUEVOS EMPRENDIMIENTOS SRL,30-68498803-0,DUAL,"Av EVA PERON 4350, CAPITAL FEDERAL","PERON, EVA AV.",4350.0,MEDINA,Parque Avellaneda,Comuna 9
-58.497167042136,-34.5966421140717,132,ESSO,ANTONIO RODEIRO CALVO,20-93430342-4,LIQUIDOS,"AV. SAN MARTIN 5705 ESQ. HELGUERA, CAPITAL FED ZONA 5","BEIRO, FRANCISCO AV.",,SAN MARTIN AV.,Agronomia,Comuna 15
-58.5236485846529,-34.6556213286894,133,ESSO,EMICAS S.R.L.,30-67605466-5,LIQUIDOS,"AV. EMILIO CASTRO 7541, CAPITAL FED ZONA 1","CASTRO, EMILIO AV.",7541.0,FRAGATA TRINIDAD,Liniers,Comuna 9
-58.516091071868,-34.628799753898605,134,ESSO,VERSALLES MULTISERVICE S.R.L.,33-66137485-9,LIQUIDOS,"IRIGOYEN 1260, CAPITAL FED ZONA 5",ALVAREZ JONTE AV.,1260.0,IRIGOYEN,Versalles,Comuna 10
-58.527726468046296,-34.615767399168895,135,ESSO,SERVICENTRO AMANECER - 158690,30-50691900-9,LIQUIDOS,"AV F BEIRO 5501 Y MOLIERE, CAPITAL FED ZONA 1","BEIRO, FRANCISCO AV.",,MOLIERE,Villa Real,Comuna 10
-58.405857459436206,-34.6337714093623,136,ESSO,TECNOLOG™A DATRI,30-71049076-3,LIQUIDOS,"AV. BRASIL 2984, CAPITAL FEDERAL",BRASIL,2984.0,LA RIOJA,Parque Patricios,Comuna 4
-58.4751773972025,-34.6357681146964,137,ESSO,BELESAR S.R.L.,30-52221477-5,LIQUIDOS,"JUAN B. ALBERDI 3480, CAPITAL FED ZONA 4","ALBERDI, JUAN BAUTISTA AV.",3480.0,DOLORES,Floresta,Comuna 10
-58.5168931910311,-34.6405990191639,138,ESSO,UNICOMB S.R.L,30-71079313-8,LIQUIDOS,"FALCON RAMON L CNEL 6398, CAPITAL FED ZONA 5","FALCON, RAMON L.,CNEL.",6398.0,OLIDEN,Liniers,Comuna 9
-58.4506592803436,-34.62423097198589,139,ESSO,ROBERTO OTERO Y JAVIER LOPEZ,30-70942943-0,LIQUIDOS,"RIVADAVIA 6045 ESQ. BIEDMA, CAPITAL FED ZONA 3","BIEDMA, JOSE JUAN",,RIVADAVIA AV.,Caballito,Comuna 6
-58.38457651448171,-34.627151362253606,140,ESSO,SERVICENTRO GARAY - 158621,30-50691900-9,DUAL,"AV. J. DE GARAY 1302, CAPITAL FED ZONA 1","GARAY, JUAN DE AV.",1302.0,SANTIAGO DEL ESTERO,Constitucion,Comuna 1
-58.5015014809511,-34.6321409021659,141,ESSO,SERVICENTRO VILLA LURO - 158678,30-50691900-9,LIQUIDOS,"J.B. JUSTO 8005 Y LOPE DE  VEGA, CAPITAL FED ZONA 7","ESCALADA DE SAN MARTIN, R.",,LOPE DE VEGA AV.,Villa Luro,Comuna 10
-58.4230383497229,-34.6568518523374,142,ESSO,LEJEM S.A.,30-62753962-9,DUAL,"INTENDENTE RABANAL  1733, CAPITAL FED ZONA 1",CRESPO,1733.0,"RABANAL, FRANCISCO, INTENDENTE AV.",Nueva Pompeya,Comuna 4
-58.441013604665,-34.5867411644758,143,ESSO,SERVICENTRO BOMPLAND - 158809,30-50691900-9,DUAL,"CORDOBA 5653/99 ESQUINA BOMPLAND, CAPITAL FED ZONA 4",BONPLAND,,CORDOBA AV.,Palermo,Comuna 14
-58.428858531413795,-34.6479616207125,144,ESSO,SERVICENTRO CENTENERA - 158821,30-50691900-9,LIQUIDOS,"CRUZ 1501, CAPITAL FED ZONA 2",JUANA DE ARCO,1501.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Nueva Pompeya,Comuna 4
-58.4574410126986,-34.5471071814684,145,ESSO,SERVICENTRO LIBERTADOR - 158631,30-50691900-9,LIQUIDOS,"AV. LIBERTADOR 7112 Y MANUEL A. PED, CAPITAL FED ZONA 5",DEL LIBERTADOR AV.,,"PEDRAZA, MANUELA",Nu\u00f1ez,Comuna 13
-58.4973009531965,-34.5835148143343,146,ESSO,SERVICENTRO AMERICA - 158711,30-50691900-9,LIQUIDOS,"AV. GRAL MOSCONI 2500, CAPITAL FED ZONA 5","ARTIGAS, JOSE GERVASIO, GRAL.",2500.0,MOSCONI GENERAL AV.,Villa Pueyrredon,Comuna 12
-58.4065560947587,-34.5786661491345,147,ESSO,SERVICENTRO ALVEAR - 158724,30-50691900-9,LIQUIDOS,"AV. LIBERTADOR 2589, CAPITAL FED ZONA 3",DEL LIBERTADOR AV.,2589.0,"SALGUERO, JERONIMO",Palermo,Comuna 14
-58.438730810981,-34.6289111373439,148,ESSO,ROBERTO OTERO Y JAVIER LOPEZ,30-70942943-0,LIQUIDOS,"AV. DIRECTORIO 802, CAPITAL FED ZONA 3",DIRECTORIO AV.,802.0,THOMPSON,Parque Chacabuco,Comuna 7
-58.4528994248401,-34.63119111980961,149,ESSO,KUKE S.R.L.,30-56845950-0,LIQUIDOS,"DIRECTORIO 1796     ESQ. PUMACAHUA, CAPITAL FED ZONA 3",DIRECTORIO AV.,,PUMACAHUA,Parque Chacabuco,Comuna 7
-58.448929221554394,-34.626201025435,150,ESSO,ALMIRO S.R.L.,30-59721260-3,LIQUIDOS,"AV. JUAN B. ALBERDI Y MIRO, CAPITAL FED ZONA 5","ALBERDI, JUAN BAUTISTA AV.",,MIRO,Caballito,Comuna 6
-58.512707088871096,-34.6508742744037,151,ESSO,SERVICENTRO EMILIO CASTRO - 195636,30-50691900-9,DUAL,"AVDA. EMILIO CASTRO Y CAFAYATE, CAPITAL FED ZONA 5",CAFAYATE,,"CASTRO, EMILIO AV.",Mataderos,Comuna 9
-58.445889170267705,-34.636901284580496,152,ESSO,INV EST S.C.A.,30-54103328-5,LIQUIDOS,"ASAMBLEA Y CURAPALIGUE, CAPITAL FED ZONA 3",ASAMBLEA AV.,,CURAPALIGUE AV.,Parque Chacabuco,Comuna 7
-58.4125177888074,-34.6405315311128,153,ESSO,ESTADIAS Y SERVICIOS S.A.,30-64570013-5,LIQUIDOS,"AV. ALMAFUERTE 187, CAPITAL FED ZONA 2","TABORDA, DIOGENES",187.0,USPALLATA,Nueva Pompeya,Comuna 4
-58.3986938156434,-34.5859823542663,154,ESSO,SERVICENTRO LAS HERAS - 158752,30-50691900-9,LIQUIDOS,"LAS HERAS 2499, CAPITAL FED ZONA 3",GALILEO,2499.0,LAS HERAS GENERAL AV.,Recoleta,Comuna 2
-58.46279091695029,-34.6416103090114,85,OIL,SANLAF S.R.L.,30-70897500-8,LIQUIDOS,"SAN PEDRITO 921, CAPITAL FEDERAL","FERNANDEZ MORENO, BALDOMERO",921.0,SAN PEDRITO,Flores,Comuna 7
-58.5034617655773,-34.660081530334395,86,OIL,TALLARICO MIGUEL R Y SQUILLACE FLAVIO G,30-70817609-1,LIQUIDOS,"AVDA. L. DE LA TORRE 2179 Y AVDA. DIRECTORIO, MATADEROS",DIRECTORIO AV.,,"DE LA TORRE, LISANDRO AV.",Mataderos,Comuna 9
-58.41721576386779,-34.6093977975803,87,OIL,PETRUGAS S.A.,30-64496740-5,DUAL,"B. MITRE 3595 Y MARIO BRAVO, ALMAGRO","BRAVO, MARIO",,"MITRE, BARTOLOME",Almagro,Comuna 5
-58.410407404292,-34.5992605997141,88,OIL,ESTACION DE SERVICIO SAN LUIS S.R.L.,30-54096008-5,DUAL,"SAN LUIS 3187 Y AGUERO, BALVANERA",AGUERO,,SAN LUIS,Balvanera,Comuna 3
-58.4512190948621,-34.595120305373804,89,OIL,DORREGO 443 S.R.L.,30-70056219-7,LIQUIDOS,"DORREGO 443 Y MUÑECAS, CHACARITA",MU\u00d1ECAS,,"SUSINI, ANTONIO, CNEL.",Villa Crespo,Comuna 15
-58.4216122589921,-34.6525947620732,90,OIL,SEFER S.A.,30-66019871-3,LIQUIDOS,"CENTENERA 3182, CAPITAL FEDERAL",BARCO CENTENERA DEL,3182.0,SANTA CATALINA,Nueva Pompeya,Comuna 4
-58.46665011162721,-34.646041391191694,91,OIL,ANTONIO TOMAS RAMON,23-93486129-9,DUAL,"AVDA. EVA PERON 3668 / 3700 Y MARIANO ACOSTA, PARQUE AVELLANEDA","ACOSTA, MARIANO",,"PERON, EVA AV.",Parque Avellaneda,Comuna 9
-58.382500457564,-34.6314404703079,92,OIL,TOPEMA S.A.,30-63122550-7,DUAL,"AVDA. CASEROS 1399 Y SALTA, CONSTITUCION",CASEROS AV.,,SALTA,Constitucion,Comuna 1
-58.47882090671829,-34.685071223005,93,OIL,ESTACION DE SERVICIO VAZQUEZ HNOS S.R.L.,30-63617801-9,LIQUIDOS,"AV. LUIS PIEDRA BUENA 4611, CAPITAL FEDERAL",PIEDRA BUENA AV.,,UNANUE,Villa Riachuelo,Comuna 8
-58.4868409739881,-34.6475433260305,94,OIL,WHITE S.R.L.,30-64397982-5,DUAL,"AVDA. DIRECTORIO 4586, FLORESTA",DIRECTORIO AV.,4586.0,WHITE,Parque Avellaneda,Comuna 9
-58.5240135571704,-34.649703191764395,95,OIL,PASCUALITO S.A.,30-51604787-5,LIQUIDOS,"CARHUE 996, CAPITAL FEDERAL",CARHUE,996.0,"CHAVEZ, JORGE",Liniers,Comuna 9
-58.3767433397527,-34.6489388980601,96,OIL,LUBRIPARK S.R.L.,30-60722333-1,LIQUIDOS,"VIEYTES 1410 E IRIARTE, BARRACAS","IRIARTE, GRAL. AV.",,VIEYTES,Barracas,Comuna 4
-58.4426148523189,-34.61185872923649,97,PDVSUR,EDIFICADORA MARTINEZ ANNES S.A.C.I.I.,30-55663427-7,DUAL,"AVDA. HONORIO PUEYRREDON 710 Y FELIPE VALLESE, CABALLITO","PUEYRREDON, HONORIO, DR. AV.",,"VALLESE, FELIPE",Caballito,Comuna 6
-58.5078817682256,-34.634670928400695,98,PDVSUR,RUTA AL OESTE S.R.L.,30-59142058-1,DUAL,"AVDA. JUAN B. JUSTO 8490 E IRIGOYEN, VILLA LURO - C.A.B.A.",IRIGOYEN,,"JUSTO, JUAN B. AV.",Villa Luro,Comuna 10
-58.467999559873,-34.5613994549019,155,PETROBRAS,DON DELFIN S.A.,30-63935426-8,DUAL,"AVDA. RICARDO BALBIN 2603, BELGRANO","BALBIN, RICARDO, DR. AV.",2603.0,ROOSEVELT FRANKLIN D.,Coghlan,Comuna 12
-58.445162581994104,-34.559176516342696,165,PETROBRAS,Eg3 RED S.A. (La Pampa),30-69161718-0,LIQUIDOS,"AV. LIBERTADOR 5747, CAPITAL FEDERAL",DEL LIBERTADOR AV.,5747.0,LA PAMPA,Belgrano,Comuna 13
-58.4642596549386,-34.5965802746071,166,PETROBRAS,OCTOBER S.A.,30-64704616-5,DUAL,"WARNES 2040, CAPITAL FEDERAL","GARCIA, JUAN AGUSTIN",2040.0,WARNES AV.,Paternal,Comuna 15
-58.405697195790786,-34.5978705910519,167,PETROBRAS,Eg3 RED S.A. (CORDOBA),30-69161718-0,GNC,"AV. CORDOBA 2733/35, CAPITAL FEDERAL",CORDOBA AV.,,ECUADOR,Recoleta,Comuna 2
-58.4405287402042,-34.608490662657,168,PETROBRAS,GASIT S.A.,30-64262178-1,GNC,"DIAZ VELEZ 5231, CAPITAL FEDERAL",ACOYTE,5231.0,DIAZ VELEZ AV.,Caballito,Comuna 6
-58.399464729465706,-34.5693569716973,169,PETROBRAS,Eg3 RED S.A. (COSTANERA Y SALGUERO),30-69161718-0,DUAL,"AV. COSTANERA R. OBLIGADO Y SALGUERO, CAPITAL FEDERAL","OBLIGADO RAFAEL, AV.COSTANERA",,"SALGUERO, JERONIMO",Palermo,Comuna 14
-58.5171402907461,-34.6529362995701,170,PETROBRAS,BEIZAMA S.A.,30-64696577-9,LIQUIDOS,"EMILIO CASTRO Y COSQUIN, CAPITAL FEDERAL","CASTRO, EMILIO AV.",,COSQUIN,Mataderos,Comuna 9
-58.443088999144,-34.629521129876196,171,PETROBRAS,GASTAB S.A.,33-64172059-9,DUAL,"DIRECTORIO 1110, CAPITAL FEDERAL",DIRECTORIO AV.,1110.0,"MITRE, EMILIO",Parque Chacabuco,Comuna 7
-58.5012177713614,-34.6739628585508,172,PETROBRAS,"ANTONIO, TOMAS RAMON",23-93486129-9,DUAL,"AV. DEL TRABAJO 7460, CAPITAL FEDERAL","PERON, EVA AV.",,"PAZ, GRAL. AV.",Villa Lugano,Comuna 8
-58.3913567613483,-34.6216812042837,156,PETROBRAS,COMBUSTIBLES VAZQUEZ HNOS. S.R.L.,30-63617795-0,DUAL,"ENTRE RIOS 1102 Y HUMBERTO 1›, CAPITAL FEDERAL",ENTRE RIOS AV.,,HUMBERTO 1\u00b0,Constitucion,Comuna 1
-58.4238689602541,-34.5976544972201,157,PETROBRAS,GALPRO S.A.,30-64600655-0,GNC,"AV. CORDOBA 4060, CAPITAL FEDERAL",CORDOBA AV.,4060.0,ESTADO DE ISRAEL AV.,Villa Crespo,Comuna 15
-58.3895978243258,-34.640862650793096,158,PETROBRAS,Eg3 RED S.A. (V.SARFIELD),30-69161718-0,DUAL,"AV.V.SARFIELD Y CORTEJARENA, CAPITAL FEDERAL","CORTEJARENA, JOSE A.",,VELEZ SARSFIELD AV.,Barracas,Comuna 4
-58.5186062539301,-34.6393099812785,159,PETROBRAS,Eg3 RED S.A. (LINIERS),30-69161718-0,DUAL,"RIVADAVIA 10984 Y MURGUIONDO, CAPITAL FEDERAL",MURGUIONDO,,RIVADAVIA AV.,Liniers,Comuna 9
-58.46788019846071,-34.6508914958894,160,PETROBRAS,EVAH S.A.,30-64441993-9,DUAL,"LACARRA 1729, CAPITAL FEDERAL",ECHEANDIA,1729.0,LACARRA AV.,Parque Avellaneda,Comuna 9
-58.46847648453079,-34.5480971498367,161,PETROBRAS,Eg3 RED S.A. (Alvisa),30-69161718-0,DUAL,"AV. CABILDO ESQ JARAMILLO, CAPITAL FEDERAL",CABILDO AV.,,"RIVADAVIA MARTIN, COMODORO",Nu\u00f1ez,Comuna 13
-58.421274019674996,-34.621220047414305,162,PETROBRAS,GRUPO GAS S.R.L.,30-64588100-8,GNC,"AV. INDEPENDENCIA 3933, CAPITAL FEDERAL",INDEPENDENCIA AV.,3933.0,YAPEYU,Almagro,Comuna 5
-58.4636427127717,-34.608243543529,163,PETROBRAS,CONSTRUCTORA DEL POLO S.A.,30-69286757-9,DUAL,"TRELLES 1671, CAPITAL FEDERAL","JUSTO, JUAN B. AV.",1671.0,"TRELLES, MANUEL R.",Villa Gral. Mitre,Comuna 11
-58.410123473570096,-34.610616860092804,164,PETROBRAS,Eg3 RED S.A.  (ONCE),30-69161718-0,DUAL,"AV. RIVADAVIA  3084 Y URQUIZA, CAPITAL FEDERAL","JAURES, JEAN",,RIVADAVIA AV.,Balvanera,Comuna 3
-58.4875079220236,-34.6364460694244,681,RHASA,R E M E S A,30-65084645-8,DUAL,"AV. OLIVERA 95 ESQ. RAMON FALCON, CAPITAL FEDERAL","FALCON, RAMON L.,CNEL.",,OLIVERA AV.,Velez Sarsfield,Comuna 10
