longitud,latitud,numero_registro,nombre,calle,numero,direccion_normalizada,numero_expediente,capacidad,clase,estado,disposicion,fecha_disp_inscripcion,numero_dips,fecha_disp_re_inscripcion,numero_disp_de_rechazo,fecha_disposicion_de_rechazo,numero_disposicion_de_recalculo_capacidad,fecha_disposicion_de_capacidad,fecha_de_entrega_nueva_revalida,vencimiento,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.393750,-34.605027,1,CASTELBAMBA,RIOBAMBA ,345,RIOBAMBA  345,4978970/19,428 personas,"""C""",RENOVADO 2019,1,2005-02-24 00:00:00,18,2019-02-20 00:00:00,,,158,2005-12-12 00:00:00,2019-12-13,2020-01-13,Balvanera,Comuna 3,1025,C1025ABG
-58.378510,-34.596003,2,GOLDEN,ESMERALDA ,1040,ESMERALDA  1040,10561/05,408 personas,"""C.C""",SUSPENDIDO DISFC-2016-77-DGFYC,3,2005-02-24 00:00:00,45,2016-03-23 00:00:00,,,98,2005-08-08 00:00:00,,,Retiro,Comuna 1,1007,C1007ABN
-58.374727,-34.612002,3,REY CASTRO,PERU ,342,PERU  342,4194466/19,901 personas,"""C""",RENOVADO 2019,4,2005-03-01 00:00:00,16,2019-02-15 00:00:00,,,67,2006-04-24 00:00:00,2019-12-05,2020-03-03,Monserrat,Comuna 1,1067,C1067AAH
-58.390154,-34.605531,4,LA FRANCE,SARMIENTO ,1656,SARMIENTO  1656,33886261/18,1372 personas,"""C.C""",RENOVADO 2019,5,2005-03-01 00:00:00,2,2019-01-10 00:00:00,,,136,2005-09-29 00:00:00,2019-12-05,2020-01-13,San Nicolas,Comuna 1,1042,C1042ABF
-58.371747,-34.601950,5,BAHREIN ,LAVALLE ,343,LAVALLE  343,2288393/19,880 personas,"""C""",RENOVADO 2019,6,2005-03-01 00:00:00,11,2019-02-04 00:00:00,,,95,2007-11-06 00:00:00,2019-09-30,2019-12-30,San Nicolas,Comuna 1,1047,C1047AAG
-58.503808,-34.564253,6,BELLA ROMA,ROGELIO YRURTIA,6020,ROGELIO YRURTIA 6020,10615/05,900 personas,"""C""","SUSPENDIDO Disp.
108/09 conjunta",7,2005-03-02 00:00:00,73,2009-06-25 00:00:00,,,86,2006-06-23 00:00:00,,,Saavedra,Comuna 12,1431,C1431BJJ
-58.388447,-34.589623,7,"CLUB 
SHAMPOO",QUINTANA ,362,QUINTANA  362,5897983/19,220 personas,"""C"" ",RENOVADO 2019,8,2005-03-02 00:00:00,24,2019-03-01 00:00:00,,,88,2005-07-27 00:00:00,,,Recoleta,Comuna 2,1014,C1014ACQ
-58.501884,-34.585999,8,CITY HALL ,AV. MOSCONI ,2883/5,AV. MOSCONI  2883,5299728/19,1434 personas,"""C""",RENOVADO 2019,9,2005-03-03 00:00:00,23,2019-03-01 00:00:00,,,77,2005-06-27 00:00:00,2019-11-08,2020-02-10,Villa Pueyrredon,Comuna 12,1419,C1419EQH
-58.471380,-34.631291,9,IVANOFF,RIVADAVIA ,7514/18,RIVADAVIA  7514,5554083/19,323 personas,"""C.C""",RENOVADO 2019,10,2005-03-03 00:00:00,22,2019-02-28 00:00:00,,,127,2005-09-13 00:00:00,2019-12-12,2020-03-15,Flores,Comuna 7,1406,C1406GMS
-58.391179,-34.605601,10,"MALUCO 
BELEZA",SARMIENTO ,1728,SARMIENTO  1728,3944043/19,1076 personas,"""C""",RENOVADO 2019,11,2005-03-03 00:00:00,10,2019-02-01 00:00:00,,,92,2006-07-11 00:00:00,,,San Nicolas,Comuna 1,1042,C1042ABH
,,11,XEL - HA,AV SAN M ARTÍN ,6628,AV SAN M ARTÍN  6628,6128100/19,692 personas,"""C""",RENOVADO 2019,12,2005-03-03 00:00:00,30,2019-03-13 00:00:00,,,70,2005-06-10 00:00:00,2019-11-20,2020-02-10,Villa Devoto,Comuna 11,1419,C1419ICQ
-58.394594,-34.589074,12,CLOCHE,J.E. URIBURU,1721,J.E. URIBURU 1721,5177597/18 ,588 personas,"""C""",INSCRIPCION VENCIDA 7/03/2019,13,2005-03-03 00:00:00,25,2018-03-07 00:00:00,,,78,2005-07-04 00:00:00,,,Recoleta,Comuna 2,1114,C1114AAS
-58.391469,-34.605626,13,SUDACA,SARMIENTO ,1752,SARMIENTO  1752,5320572/19,980 personas,"""C""",RENOVADO 2019,18,2005-03-07 00:00:00,25,2019-03-01 00:00:00,,,134,2013-08-05 00:00:00,2019-10-17,2020-01-13,San Nicolas,Comuna 1,1042,C1042ABH
-58.370537,-34.615568,14,MOLIERE,BALCARCE ,678/82,BALCARCE  678,6656757/19,531 personas,"""C.C""",RENOVADO 2019,19,2005-03-09 00:00:00,38,2019-03-20 00:00:00,,,69,2017-07-20 00:00:00,2019-10-31,2020-02-03,Monserrat,Comuna 1,1064,C1064AAN
-58.412236,-34.604180,15,AZUCAR ,AV. CORRIENTES ,3328,AV. CORRIENTES  3328,12571/05,622 personas,"""c""","BAJA INSC.Disp. 
02/14 conjunta",16,2005-03-03 00:00:00,116,2013-06-25 00:00:00,,,88,2006-06-23 00:00:00,,,Balvanera,Comuna 3,1193,C1193AAS
-58.448436,-34.546927,16,WESTERN ,F. ALCORTA ,7536,F. ALCORTA  7536,5653644/19,320 personas,"""C""",RENOVADO 2019,17,2005-03-03 00:00:00,29,2019-03-13 00:00:00,,,89,2006-07-06 00:00:00,2019-11-07,2020-02-11,Belgrano,Comuna 13,1428,C1428BCY
-58.376047,-34.598835,17,GONG,AV. CÓRDOBA ,634,AV. CÓRDOBA  634,6775545/19,200 personas,"""C""",RENOVADO 2019,20,2005-03-10 00:00:00,39,2019-03-20 00:00:00,,,51,2006-03-23 00:00:00,2019-06-05,2019-07-13,San Nicolas,Comuna 1,1054,C1054AAS
-58.435462,-34.553124,18,RUMI,F. ALCORTA,6438/42,F. ALCORTA 6438,10834/05,765 personas,"""C.C""",BAJA INSC. Disp.40/13,21,2005-03-10 00:00:00,31,2012-03-09 00:00:00,,,149,2005-11-02 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCN
-58.470238,-34.630759,19,EVELYN,AV. RIVADAVIA ,7425,AV. RIVADAVIA  7425,4152489/19,452 personas,"""C.C""",RENOVADO 2019,22,2005-03-10 00:00:00,21,2019-02-28 00:00:00,,,135,2005-09-29 00:00:00,2019-12-12,2020-03-15,Flores,Comuna 7,1406,C1406GME
-58.379677,-34.610694,20,PALACIO ALSINA,ALSINA ,934/44,ALSINA  934,34847653/18,2140 personas,"""C""",RENOVADO 2019,23,2005-03-10 00:00:00,9,2019-01-23 00:00:00,,,9,2017-02-02 00:00:00,2019-12-05,2020-03-03,,,,
-58.438732,-34.587241,21,NICETO CLUB ,NICETO VEGA ,5508,NICETO VEGA  5508,4851795/19,1118 personas,"""C""",RENOVADO 2019,24,2005-03-10 00:00:00,28,2019-03-08 00:00:00,,,58,2005-05-06 00:00:00,2019-09-23,2019-12-06,Palermo,Comuna 14,1414,C1414BFD
-58.364046,-34.605937,22,ASIA DE CUBA,OLGA COSSETTINI,751,OLGA COSSETTINI 751,4179110/19,446 personas,"""C""",RENOVADO 2019,25,2005-03-10 00:00:00,17,2019-02-20 00:00:00,,,17,2018-02-23 00:00:00,2019-11-13,2020-02-10,Puerto Madero,Comuna 1,1107,C1107CDA
-58.409546,-34.597005,23,GLAM ,JOSÉ A. CABRERA ,3046/48,JOSÉ A. CABRERA  3046,17133231/19,489 personas,"""C.C""",RENOVADO 2019,26,2005-03-11 00:00:00,62,2019-06-12 00:00:00,,,60,2007-05-10 00:00:00,2019-05-28,2019-08-17,Recoleta,Comuna 2,1186,C1186AAF
-58.423242,-34.579654,24,"NEW 
METROPOLIS",AV. SANTA FE ,4389,AV. SANTA FE  4389,10628/05,1602 personas,"""C""","BAJA INSC.Disp. 
77/2008 conjunta",27,2005-03-11 00:00:00,,,61,2006-04-07 00:00:00,145,2005-10-17 00:00:00,,,Palermo,Comuna 14,1425,C1425BHF
-58.395152,-34.588016,25,TIRO LOCO,VICENTE LOPEZ ,2188,VICENTE LOPEZ  2188,11118/05,177 personas,"""C.C""","BAJA INSC:Disp. 
Conjunta N° 007/2010",28,2005-03-14 00:00:00,38,2006-03-17 00:00:00,,,38,2006-03-17 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACH
-58.421467,-34.582366,26,PALERMO CLUB ,BORGES ,2450,BORGES  2450,6372342/19,650 personas,"""C""",RENOVADO 2019,29,2005-03-14 00:00:00,32,2019-03-13 00:00:00,,,121,2005-08-18 00:00:00,2019-11-07,2020-02-07,Palermo,Comuna 14,1425,C1425FFJ
-58.472276,-34.631799,27,TABASCO PUB,JOSÉ MARTÍ ,17,JOSÉ MARTÍ  17,6014581/19,999 personas,"""C""",RENOVADO 2019,30,2005-03-15 00:00:00,20,2019-02-28 00:00:00,,,108,2010-08-27 00:00:00,2019-12-13,2020-03-15,Flores,Comuna 7,1406,C1406FBA
-58.365786,-34.598292,28,OPERA BAY,CECILIA GRIERSON ,225,CECILIA GRIERSON  225,10674/05,1239 personas,"""C.C""","BAJA INSC. Disp. 
44/2008 conjunta",31,2005-03-15 00:00:00,48,2007-03-30 00:00:00,,,32,2006-03-17 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107CPE
-58.470165,-34.630957,29,BELLAKEO NIGHT,AV. RIVADAVIA ,7428,AV. RIVADAVIA  7428,16082022/19,1260 personas,"""C""",RENOVADO 2019,32,2005-03-15 00:00:00,61,2019-05-31 00:00:00,,,35,2006-03-17 00:00:00,2019-10-09,2019-12-15,Flores,Comuna 7,1406,C1406GMR
-58.456304,-34.562678,30,"AZUCAR 
BELGRANO",AV. CABILDO,2040,AV. CABILDO 2040,10832/05,521 personas,"""C""","BAJA INSC: Disp. 
Conjunta N°47/2010",33,2005-03-16 00:00:00,114,2009-12-18 00:00:00,,,90,2007-09-14 00:00:00,,,Belgrano,Comuna 13,1428,C1428AAP
-58.438260,-34.564971,31,FRERE,OLLEROS ,1775,OLLEROS  1775,3845917/19 ,650 personas,"""C""",RENOVADO 2019,34,2005-03-16 00:00:00,12,2019-02-06 00:00:00,,,19,2009-03-04 00:00:00,,,Palermo,Comuna 14,1426,C1426CRE
-58.392675,-34.588914,32,SAHARA,JUNIN ,1735,JUNIN  1735,10658/05,870 personas,"""C""",BAJA INSC: Disp. Conjunta N° 74/11,35,2005-03-17 00:00:00,43,2010-03-19 00:00:00,,,46,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.392782,-34.589096,33,NEW PORT,JUNIN ,1715/19,JUNIN  1715,10566/05,295 personas,"""C.C""",BAJA INSCRPICION:DISFC-2015-55-DGFYC,36,2005-03-17 00:00:00,42,2015-04-01 00:00:00,,,54,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.408969,-34.609612,34,LATINO 11,ECUADOR ,60,ECUADOR  60,6446132/18,1540 personas,"""C""",RENOVADO 2019,37,2005-03-18 00:00:00,47,2019-03-29 00:00:00,,,34,2006-03-17 00:00:00,2019-12-18,2020-03-22,Balvanera,Comuna 3,1214,C1214ABB
-58.474756,-34.632229,35,RETRO,RIVADAVIA ,7802/12,RIVADAVIA  7802,5691847/19,1872 personas,"""C""",RENOVADO 2019,38,2005-03-18 00:00:00,34,2019-03-14 00:00:00,,,144/150,2005-10-05 00:00:00,2019-12-16,2020-03-15,Floresta,Comuna 10,1407,C1407DYN
-58.381897,-34.629059,36,BRONCO,O´BRIEN,1160,O´BRIEN 1160,10827/05,1646 personas,"""C""",INSCRIPCION VENCIDA,39,2005-03-18 00:00:00,24,2007-03-16 00:00:00,001/2010,,147,2005-10-21 00:00:00,,,Constitucion,Comuna 1,1137,C1137ABB
-58.469872,-34.629936,37,AMNESIA,AV. NAZCA ,55,AV. NAZCA  55,10617/05,778 personas,"""C.C""",INSCRIPCION VENCIDA,120,2010-10-20 00:00:00,100,2016-10-20 00:00:00,,,91,2007-10-09 00:00:00,,,Flores,Comuna 7,1406,C1406AIA
,,38,CAIX,"R. OBLIGADO 
Y SALGUERO",sin nº,"R. OBLIGADO 
Y SALGUERO ",4960926/19,1764 personas,"""C""",RENOVADO 2019,41,2005-03-18 00:00:00,26,2019-03-01 00:00:00,,,134,2005-09-28 00:00:00,2019-11-14,2020-02-15,,,,
-58.501738,-34.594971,39,LE PRIVE,AV. SAN MARTÍN,6101,AV. SAN MARTÍN 6101,10583/05,68 personas,"""C""",INSCRPCION VENCIDA,42,2005-03-21 00:00:00,44,2007-03-23 00:00:00,,,52,2006-03-23 00:00:00,,,Agronomia,Comuna 15,1419,C1419IBE
-58.374682,-34.614192,40,MUSEUM,PERU ,529,PERU  529,10666/05,1952 personas,"""C""",INSCRIPCION VENCIDA,43,2005-03-22 00:00:00,36,2009-03-27 00:00:00,,,80,2005-07-13 00:00:00,,,Monserrat,Comuna 1,1068,C1068AAA
-58.398118,-34.601095,41,ANGEL´S DISCO,VIAMONTE ,2168/70,VIAMONTE  2168,11627/05,425 personas,"""C""",INSCRIPCION VENCIDA,44,2005-03-22 00:00:00,46,2016-03-31 00:00:00,,,92,2005-07-29 00:00:00,,,Balvanera,Comuna 3,1056,C1056ABH
-58.395531,-34.587417,42,SODOMA,VICENTE LOPEZ ,2233,VICENTE LOPEZ  2233,10671/05,300  personas,"""C.C""","SUSPENDIDO Disp. Nº 
26/DGHP/08",45,2005-03-22 00:00:00,1,2007-01-18 00:00:00,,,1,2007-01-18 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACI
-58.416290,-34.586512,43,CLUB ARÁOZ,ARAOZ ,2422,ARAOZ  2422,2802658/19,1030 personas,"""C""",RENOVADO 2019,46,2005-03-23 00:00:00,13,2019-02-07 00:00:00,,,73,2005-06-17 00:00:00,2019-09-06,2019-12-07,Palermo,Comuna 14,1425,C1425DGL
,,44,MANDARINE,"R. OBLIGADO 
Y SARMIENTO",sin nº,"R. OBLIGADO 
Y SARMIENTO ",2335460/19,1613 personas,"""C""",RENOVADO 2019,47,2005-03-23 00:00:00,8,2019-01-22 00:00:00,,,38,2009-03-23 00:00:00,2019-11-22,2020-02-21,,,,
-58.410302,-34.558372,45,LA DIOSA-VIDU,R. OBLIGADO ,3731,R. OBLIGADO  3731,10604/05,1558 personas,"""C""",BAJA INSCRIPCION DISFC-2013-127-DGFYC,48,2005-03-23 00:00:00,123,2012-09-17 00:00:00,,,107,2011-09-29 00:00:00,,,Palermo,Comuna 14,1428,
-58.411728,-34.603834,46,EL FOGÓN,AGÜERO ,512,AGÜERO  512,13661/05,274 personas,"""C.C""",BAJA INSC: Disp N°94/12,49,2005-03-23 00:00:00,46,2012-03-23 00:00:00,,,55,2006-03-23 00:00:00,,,Balvanera,Comuna 3,1171,C1171ABH
-58.386061,-34.605278,47,SALON AGUSTEO,SARMIENTO ,1374,SARMIENTO  1374,10587/05,,ART 1º,"BAJA INSC: Disp. 
Nº 30/DGHP/2008",50,2005-03-23 00:00:00,,,,,,,,,San Nicolas,Comuna 1,1041,C1041ABB
-58.415350,-34.610722,48,EL FANTA NORTEÑO,AV. RIVADAVIA ,3469,AV. RIVADAVIA  3469,5318043/19,1270 personas,"""C""",RENOVADO 2019,51,2005-04-01 00:00:00,42,2019-03-22 00:00:00,10,2006-02-14 00:00:00,160,2005-12-22 00:00:00,2019-11-07,2019-12-22,Almagro,Comuna 5,1203,C1203AAG
-58.450839,-34.580135,49,TEATRO VORTERIX,F. LACROZE ,3453,F. LACROZE  3453,7127329/19,1584 personas,"""C.C""",RENOVADO 2019,52,2005-04-01 00:00:00,44,2019-03-27 00:00:00,,,7,2006-01-04 00:00:00,,,Colegiales,Comuna 13,1426,C1426CQH
-58.394643,-34.588376,50,PAGANA,VICENTE LOPEZ ,2134,VICENTE LOPEZ  2134,13361/05,364 personas,"""C.C""",INSCRIPCION VENCIDA,53,2005-04-21 00:00:00,76,2014-05-30 00:00:00, ,,66,2006-04-21 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACH
-58.405142,-34.608751,51,POPULARISIMO ,BARTOLOME MITRE ,2737,BARTOLOME MITRE  2737,10662/05,200 personas,"""C""",BAJA DE INSCRIPCION ,4,2007-02-14 00:00:00,71,2006-05-05 00:00:00,,,71,2006-05-05 00:00:00,,,Balvanera,Comuna 3,1039,C1039AAS
-58.414942,-34.604021,52,EL PICAFLOR,AV. CORRIENTES ,3530,AV. CORRIENTES  3530,18874134/19,550 personas,"""C""",RENOVADO 2019,56,2005-05-04 00:00:00,65,2019-07-17 00:00:00,69,2006-05-04 00:00:00,65,2019-07-17 00:00:00,2019-10-29,2020-01-27,Almagro,Comuna 5,1194,C1194AAO
-58.473457,-34.541747,53,MIND,AV CABILDO ,4665,AV CABILDO  4665,17182301/19, 883 personas,"""C""",RENOVADO 2019,57,2005-05-04 00:00:00,63,2019-06-19 00:00:00,,,61,2018-06-19 00:00:00,2019-05-30,2019-08-03,Nu\u00f1ez,Comuna 13,1429,C1429ABE
-58.392141,-34.594625,54,THE SHAMROCK,RODRIGUEZ PEÑA ,1220,RODRIGUEZ PEÑA  1220,9266485/19,396 personas,"""C.C""",RENOVADO 2019,64,2005-05-18 00:00:00,52,2019-04-24 00:00:00,,,63,2006-05-12 00:00:00,2019-10-23,2020-01-21,Recoleta,Comuna 2,1021,C1021ABB
,,55,CLUB 74,"FIGUEROA 
ALCORTA ",7474,"FIGUEROA 
ALCORTA  7474",10836/05,180 personas,"""B""",INSCRIPCION VENCIDA,65,2005-05-18 00:00:00,77,2014-06-09 00:00:00,,,76,2006-06-01 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCX
-58.392585,-34.615711,56,MONTECARLO,MEXICO ,1861/63,MEXICO  1861,10673/05,460 personas,"""C""",INSCRIPCION VENCIDA,66,2005-06-08 00:00:00,61,2017-06-16 00:00:00,,,6,2006-01-10 00:00:00,,,Balvanera,Comuna 3,1222,C1222ABA
-58.427497,-34.624127,57,SET,AV. LA PLATA  ,731/33,AV. LA PLATA   731,14678270/19,1593 personas,"""C.C""",RENOVADO 2019,67,2005-06-08 00:00:00,57,2019-05-23 00:00:00,,,67,2005-06-08 00:00:00,,,Caballito,Comuna 6,1235,C1235ABE
-58.379908,-34.597323,58,CATTOS,SUIPACHA ,930,SUIPACHA  930,20218/05,100 personas,"""C.C""",INSCRIPCION VENCIDA,68,2005-06-08 00:00:00,82,2014-06-24 00:00:00,,,93,2005-08-04 00:00:00,,,Retiro,Comuna 1,1008,C1008AAT
-58.439581,-34.586455,59,INK,NICETO VEGA  ,5635,NICETO VEGA   5635, 23254383/19,409 personas,"""C.C""",RENOVADO 2019,69,2005-06-08 00:00:00,73,2019-08-08 00:00:00,,,79,2006-06-09 00:00:00,2019-09-03,2019-11-21,Palermo,Comuna 14,1414,C1414BFE
-58.383094,-34.629105,60,RADIO STUDIO,O`BRIEN ,1232,O`BRIEN  1232,30138502/19,3050 personas,"""C""",RENOVADO 2019,72,2005-06-13 00:00:00,88,2019-10-07 00:00:00,,,104,2008-11-27 00:00:00,2019-10-18,2019-12-14,Constitucion,Comuna 1,1137,C1137ABD
-58.377683,-34.604691,61,EL TEATRITO,SARMIENTO ,777,SARMIENTO  777,24459/05,538 personas,"""C""","BAJA  INSC: Disp. 
Conjunta 92/2010",74,2005-06-17 00:00:00,105,2009-11-19 00:00:00,,,127,2006-11-17 00:00:00,,,San Nicolas,Comuna 1,1041,C1041AAO
-58.423562,-34.598689,62,AMERIKA,GASCON  ,1036,GASCON   1036,17740746/19,2450 personas,"""C""",RENOVADO 2019,84,2005-07-14 00:00:00,76,2019-08-21 00:00:00,,,158,2012-12-20 00:00:00,2019-11-08,2020-02-10,Almagro,Comuna 5,1181,C1181ACT
-58.379823,-34.609022,63,REQUIEM GOTIC,AV. DE MAYO  ,948,AV. DE MAYO   948,24460/05,186 personas,"""C.C""",INSCRIPCION VENCIDA,85,2005-07-19 00:00:00,90,2006-07-10 00:00:00,,,19,2006-03-06 00:00:00,,,Monserrat,Comuna 1,1084,C1084AAR
-58.372953,-34.597627,64,GREAT CITY,RECONQUISTA,876/78,RECONQUISTA 876,14498/05,208 personas,"""C.C""",SUSPENDIDO DISFC-2016-58-DGFYC,87,2005-07-22 00:00:00,84,2015-08-14 00:00:00,,,5,2006-01-10 00:00:00,,,Retiro,Comuna 1,1003,C1003ABR
,,65,PACHA,"COSTANERA
 Y PAMPA",sin nº,"COSTANERA
 Y PAMPA ",30712/05,1942 personas,"""C""",BAJA INSCRPICION: DISFC-2015-80-DGFYC,91,2005-07-29 00:00:00,97,2014-08-20 00:00:00,,,105,2010-08-20 00:00:00,,,,,,
-58.395099,-34.587531,66,MADAHOS,AZCUENAGA,1902,AZCUENAGA 1902,14781/05,396 personas,"""C""",BAJA INSCRIPCION DISP. Nº 65/2013,128,2005-09-15 00:00:00,125,2012-09-28 00:00:00,,,128,2005-09-15 00:00:00,,,Recoleta,Comuna 2,1128,C1128AAH
-58.411863,-34.604651,67,THE FLOWER,AGÜERO,445,AGÜERO 445,23430067/19,405 personas,"""C""",RENOVADO 2019,156,2005-11-18 00:00:00,80,2019-08-28 00:00:00,,,156,2005-11-18 00:00:00,,,Balvanera,Comuna 3,1171,C1171ABE
-58.393721,-34.609365,68,LE CLICK,AV. RIVADAVIA,1908/12,AV. RIVADAVIA 1908,2489941/19,990 personas,"""C.C""",RENOVADO 2019,159,2005-12-14 00:00:00,5,2019-01-18 00:00:00,,,159,2005-12-14 00:00:00,2019-09-02,2019-10-13,Balvanera,Comuna 3,1033,C1033AAW
-58.382743,-34.628162,69,MBURUKUJA,SALTA,1736/48,SALTA 1736,61556/05,1140 personas,CLUB ART 1º,INSCRIPCION VENCIDA,7,2006-01-13 00:00:00,7,2017-02-02 00:00:00,,,7,2006-01-13 00:00:00,,,Constitucion,Comuna 1,1137,C1137ACL
-58.471661,-34.631146,70,"VIRUS 10,1",RIVADAVIA,7523,RIVADAVIA 7523,2468131/19,216 personas,"""C.C""",RENOVADO 2019,12,2006-02-21 00:00:00,4,2019-01-18 00:00:00,,,12,2006-02-21 00:00:00,,,Flores,Comuna 7,1406,C1406GMF
-58.392393,-34.588431,71,PISO 1,JUNIN,1787,JUNIN 1787,76735/05,150 personas,"""C.C""",BAJA INSCRIPCION DISP. Nº 05/10,45,2006-03-23 00:00:00,,,,,45,2006-03-23 00:00:00,,,Recoleta,Comuna 2,1113,C1113AAS
-58.422813,-34.571534,72,CROBAR,AV. LIBERTADOR,3883,AV. LIBERTADOR 3883,17787401/2019,2258 personas,"""C""",RENOVADO 2019,57,2006-03-30 00:00:00,64,2019-07-12 00:00:00,,,89,2008-10-09 00:00:00,2019-11-06,2019-12-03,Palermo,Comuna 14,1425,C1425ABL
-58.436045,-34.586175,73,ESPERANTO,AV JUAN B. JUSTO,1625,AV JUAN B. JUSTO 1625,86918/05,572 personas,"""C.C""",INSCRIPCION VENCIDA,59,2006-04-03 00:00:00,50,2016-04-01 00:00:00,,,8,2010-01-22 00:00:00,,,Palermo,Comuna 14,1414,C1414CWF
-58.517999,-34.639000,74,MÁGICO,AV. RIVADAVIA,10925,AV. RIVADAVIA 10925,7653142/19,1320 personas,"""C""",RENOVADO 2019,60,2006-04-04 00:00:00,48,2019-04-05 00:00:00,,,58,2007-04-23 00:00:00,,,Liniers,Comuna 9,1408,C1408AAJ
-58.378132,-34.601528,75,MUNDO LATINO,ESMERALDA ,565,ESMERALDA  565,8670439/19,300 personas,"""C.C""",RENOVADO 2019,62,2006-04-12 00:00:00,50,2019-04-11 00:00:00,,,102,2009-11-12 00:00:00,2019-04-04,2019-06-30,San Nicolas,Comuna 1,1007,C1007ABC
,,76,DORSIA,"A.  MOREAU 
DE JUSTO",2092,"A.  MOREAU 
DE JUSTO 2092",24150733/19,679 personas,"""C""",RENOVADO 2019,65,2006-04-21 00:00:00,79,2019-08-23 00:00:00,,,83,2010-06-18 00:00:00,2019-08-06,2019-11-10,,Comuna 1,1107,C1107AFP
,,77,LA MADELEINE,"A.  MOREAU
 DE JUSTO",102/112,"A.  MOREAU
 DE JUSTO 102",80621/05,205  personas,"""C.C""",INSCRPCION VENCIDA,75,2006-06-01 00:00:00,82,2012-06-12 00:00:00,,,75,2006-06-01 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107AAD
,,78,LA CITY,"AV. ALVAREZ 
THOMAS",1391/93,"AV. ALVAREZ 
THOMAS 1391",29275034/19,940 personas,"""C""",RENOVADO 2019,85,2006-06-23 00:00:00,91,2019-10-16 00:00:00,,,85,2006-06-23 00:00:00,2019-09-27,2019-12-28,Villa Ortuzar,Comuna 15,1427,C1427CDA
-58.430019,-34.588474,79,BRUJAS,J.L. BORGES,1640,J.L. BORGES 1640,23294501/19,264 personas,"""C""",RENOVADO 2019,94,2006-07-17 00:00:00,70,2019-08-06 00:00:00,,,108,2013-06-13 00:00:00,2019-07-25,2019-09-30,Palermo,Comuna 14,1414,C1414DGB
