longitud,latitud,numero_registro,nombre,calle,numero,direccion_normalizada,numero_expediente,capacidad,clase,estado,disposicion,fecha_disp_inscripcion,numero_dips,fecha_disp_re_inscripcion,numero_disp_de_rechazo,fecha_disposicion_de_rechazo,numero_disposicion_de_recalculo_capacidad,fecha_disposicion_de_capacidad,fecha_de_entrega_nueva_revalida,vencimiento,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.396099,-34.588904,80,RUANO,AZCUENAGA,1775 1º,AZCUENAGA 1775,30156615/19,254 personas,"""C.C""",RENOVADO 2019,100,2006-08-11 00:00:00,86,2019-10-02 00:00:00,,,100,2006-08-11 00:00:00,2019-09-05,2019-11-17,Recoleta,Comuna 2,1128,C1128AAC
-58.412230,-34.602712,81,UNI CLUB,GUARDIA VIEJA,3360,GUARDIA VIEJA 3360,22273727/19,630 personas,"""C""",RENOVADO 2019,101,2006-08-11 00:00:00,69,2019-07-26 00:00:00,,,97,2007-11-16 00:00:00,2019-10-28,2020-01-27,Balvanera,Comuna 3,1192,C1192AAB
-58.370741,-34.614363,82,POR VOS BS AS,BALCARCE ,563 P.B,BALCARCE  563,38142/06,586 personas,"""C""","BAJA INSC: Disp
. Nº 002/2010",122,2006-11-02 00:00:00,98,2008-11-12 00:00:00,,,83,2008-08-29 00:00:00,,,Monserrat,Comuna 1,1064,C1064AAK
,,83,LO DE CELIA,"HUMBERTO 
PRIMO",1783 1°P,"HUMBERTO 
PRIMO 1783",22159527/17,150 personas,"""C.C""",BAJA INSC: DISFC-2018-108-DGFYC,123,2006-11-02 00:00:00,102,2017-11-10 00:00:00,,,123,2006-11-02 00:00:00,,,Constitucion,Comuna 1,1103,C1103ADI
,,84,CONTRAMANO,"RODRIGUEZ 
PEÑA ",1082 PB,"RODRIGUEZ 
PEÑA  1082",26552605/17 ,335 personas,C C,INSCRIPCION VENCIDA,115,2015-12-04 00:00:00,109,2017-12-07 00:00:00,,,56,2007-04-23 00:00:00,,,Recoleta,Comuna 2,1020,C1020ADV
-58.429979,-34.576950,85,KIMIA,SANTA FE ,4999,SANTA FE  4999,81034/06,958  personas   ,C,INSCRIPCION VENCIDA,3,2007-02-14 00:00:00,79,2009-08-07 00:00:00,,,77,2007-07-13 00:00:00,,,Palermo,Comuna 14,1425,C1425BHL
-58.416264,-34.644773,86,EL TEATRO SUR,AV. SAENZ,459,AV. SAENZ 459,3336304/19,2346 personas,C,RENOVADO 2019,5,2007-02-23 00:00:00,15,2019-02-15 00:00:00,,,90,2008-10-23 00:00:00,2019-10-18,2019-01-20,Nueva Pompeya,Comuna 4,1437,C1437DNE
-58.457034,-34.626355,87,SEU DISCO,AV. BOYACA ,28,AV. BOYACA  28,6407535/19,186 personas,"""C.C""",RENOVADO 2019,34,2007-03-16 00:00:00,31,2019-03-13 00:00:00,,,34,2007-03-16 00:00:00,2019-12-19,2020-01-27,Flores,Comuna 7,1406,C1406BGB
-58.433328,-34.586432,88,KIKA,HONDURAS,5339/47,HONDURAS 5339,6015404/19,1100 personas,"""C""",RENOVADO 2019,35,2007-03-16 00:00:00,35,2019-03-14 00:00:00,,,35,2007-03-16 00:00:00,2019-07-18,2019-09-30,Palermo,Comuna 14,1414,C1414BMW
-58.370618,-34.612666,89,LA VENTANA,BALCARCE ,425/31,BALCARCE  425,89485/06,449 personas,C C,BAJA INSC: DISP. N° 113/12,59,2007-05-10 00:00:00,75,2012-05-28 00:00:00,,,59,2007-05-10 00:00:00,,,Monserrat,Comuna 1,1064,C1064AAI
-58.378938,-34.608307,90,COCOLICHE,AV. RIVADAVIA,878,AV. RIVADAVIA 878,30700955/19,268 personas,C,RENOVADO 2019,62,2007-05-11 00:00:00,90,2019-10-16 00:00:00,,,62,2007-05-11 00:00:00,,,Monserrat,Comuna 1,1002,C1002AAT
-58.393629,-34.588922,91,"LOCOS X EL 
FUTBOL",VICENTE LOPEZ ,2056/69,VICENTE LOPEZ  2056,11045/07,300 personas,CC,"BAJA INSC: Disp.
 Nº 003/2010",75,2007-07-02 00:00:00,72,2008-07-18 00:00:00,,,75,2007-07-02 00:00:00,,,Recoleta,Comuna 2,1128,C1128ACF
,,92,JET,"AV. RAFAEL 
OBLIGADO",4801,"AV. RAFAEL 
OBLIGADO 4801",83133/05,688 personas,C,BAJA INSCRIPCION DISP Nº 88/16,81,2007-08-09 00:00:00,83,2016-08-11 00:00:00,,,109,2008-12-19 00:00:00,2019-12-18,2020-03-22,Palermo,Comuna 14,1428,
-58.389354,-34.587775,93,BLACK,AYACUCHO,1981,AYACUCHO 1981,28278/07,210 personas,C C,BAJA INSCRIPCION DISP Nº 64/2013,88,2007-08-31 00:00:00,115,2012-08-27 00:00:00,,,88,2007-08-31 00:00:00,,,Recoleta,Comuna 2,1112,C1112AAI
-58.426477,-34.592026,94,PORTO SOHO,SCALABRINI ORTIZ,1425/29,SCALABRINI ORTIZ 1425,34695025/19,604personas,"""C""",RENOVADO 2019,96,2007-11-16 00:00:00,99,2019-11-27 00:00:00,,,134,2011-11-18 00:00:00,2019-11-08,2019-12-30,Palermo,Comuna 14,1414,C1414DOB
-58.363845,-34.601494,95,ACQUA LOUNGE,JUANA MANSO,305 PB,JUANA MANSO 305,19740/07,214 personas,C C,INSCRIPCIÓN VENCIDA,101,2007-12-06 00:00:00,25,2014-03-06 00:00:00,,,101,2007-12-06 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107CBG
-58.448063,-34.556856,96,VIPER,JURAMENTO ,1531/43,JURAMENTO  1531,12602405/19,238 personas,C C,RENOVADO 2019,104,2007-12-21 00:00:00,53,2019-04-29 00:00:00,,,104,2007-12-21 00:00:00,2019-07-31,2019-09-15,Belgrano,Comuna 13,1428,C1428DMS
,,97,PRIVILEGE BA,"AV. RAFAEL 
OBLIGADO",1221,"AV. RAFAEL 
OBLIGADO 1221",47762/07,2966 personas,"""C""",INSCRPCIÓN VENCIDA,526,2008-02-27 00:00:00,129,2014-12-05 00:00:00,,,526,2008-02-20 00:00:00,,,Palermo,Comuna 14,1425,
,,98,MORENA DISCO,"AV. JUAN B. 
ALBERDI",2829/39,"AV. JUAN B. 
ALBERDI 2829",12206667/19,504 personas,"""C""",RENOVADO 2019,86,2008-09-04 00:00:00,54,2019-05-03 00:00:00,,,86,2008-09-04 00:00:00,2019-11-07,2020-01-27,Flores,Comuna 7,1406,C1406GSE
,,99,VOX,"AV. HIPÓLITO
 YRIGOYEN",968,"AV. HIPÓLITO
 YRIGOYEN 968",4720241/18,532 personas,"""C""",RENOVADO 2019,94,2008-11-07 00:00:00,19,2019-02-21 00:00:00,,,94,2008-11-07 00:00:00,2019-12-02,2020-03-03,Monserrat,Comuna 1,1086,C1086AAP
-58.467281,-34.629980,100,MORENA,AV. RIVADAVIA ,7217,AV. RIVADAVIA  7217,54743/08,922 personas,"""C""",BAJA DE INSCRIPCION ,95,2008-11-05 00:00:00,174,2013-11-15 00:00:00,,,95,2008-11-05 00:00:00,,,Flores,Comuna 7,1406,C1406GMC
-58.374932,-34.598615,101,THE SUB,AV. CÓRDOBA ,543,AV. CÓRDOBA  543,29897950/18,415 personas,C C,RENOVADO 2019,100,2008-11-14 00:00:00,96,2019-11-14 00:00:00,,,100,2008-11-14 00:00:00,2019-11-08,2020-01-13,Retiro,Comuna 1,1054,C1054AAE
-58.375875,-34.619138,102,CLUB 947,CHACABUCO,947/55,CHACABUCO 947,32616877/19,1702 personas,ART 1º,RENOVADO 2019,103,2008-11-17 00:00:00,93,2019-10-31 00:00:00,,,25,2011-03-04 00:00:00,2019-12-05,2020-03-03,San Telmo,Comuna 1,1069,C1069AAS
-58.415361,-34.585439,103,LIQUID,AV. SANTA FÉ,3651,AV. SANTA FÉ 3651,34834189/18,576 personas,C,RENOVADO 2019,3,2009-02-11 00:00:00,6,2019-01-18 00:00:00,,,71,2012-05-18 00:00:00,2019-12-05,2020-03-07,Palermo,Comuna 14,1425,C1425BGL
-58.440041,-34.586135,104,BLOW,NICETO VEGA,5681/99,NICETO VEGA 5681,34054037/19,333 personas,"""C.C""",RENOVADO 2019,47,2009-04-01 00:00:00,101,2019-12-20 00:00:00,,,47,2009-04-01 00:00:00,2019-12-17,2020-02-21,Palermo,Comuna 14,1414,C1414BFE
-58.436228,-34.586604,105,INPUT,AV. JUAN B. JUSTO ,1658,AV. JUAN B. JUSTO  1658,3570271/19,742 personas,C,RENOVADO 2019,53,2009-04-24 00:00:00,14,2019-02-13 00:00:00,,,103,2010-08-20 00:00:00,2019-10-08,2019-12-28,Palermo,Comuna 14,1414,C1414CWS
-58.409424,-34.598173,106,JANNOY,AV. CORDOBA,2988,AV. CORDOBA 2988,10658549/19,448 personas,C,RENOVADO 2019,54,2009-04-30 00:00:00,51,2019-04-24 00:00:00,,,54,2009-04-30 00:00:00,2019-11-28,2020-02-17,Balvanera,Comuna 3,1187,C1187AAQ
,,107,CIRCUS,"AV. HIPÓLITO
 YRIGOYEN",947,"AV. HIPÓLITO
 YRIGOYEN 947",22284096/19,400 poersonas,"""C""",RENOVADO 2019,70,2009-06-19 00:00:00,68,2019-07-26 00:00:00,,,70,2009-06-19 00:00:00,2019-12-05,2020-03-03,Monserrat,Comuna 1,1086,C1086AAO
-58.435740,-34.584529,108,"HONDURAS 
HOLLYWOOD",HONDURAS,5535,HONDURAS 5535,48909/09,356 personas,C.C,BAJA DE INSCRIPCION DISP Nº70/14.,83,2009-08-14 00:00:00,175,2013-11-15 00:00:00,,,83,2009-08-14 00:00:00,,,Palermo,Comuna 14,1414,C1414BNC
-58.438859,-34.587153,109,WET CLUB,AV. NICETO VEGA,5534/36,AV. NICETO VEGA 5534,48222/09,272 personas,C.C, INSCRIPCION VENCIDA,87,2009-08-28 00:00:00,116,2011-10-20 00:00:00,,,87,2009-08-28 00:00:00,,,Palermo,Comuna 14,1414,C1414BFD
,,110,TEQUILA,"AV. RAFAEL 
OBLIGADO",6211,"AV. RAFAEL 
OBLIGADO 6211",25674347/19,335 personas,"""C""",RENOVADO 2019,94,2009-10-16 00:00:00,78,2019-08-22 00:00:00,,,118,2010-10-15 00:00:00,2019-07-17,2019-09-22,Belgrano,Comuna 13,1428,
,,111,MAGNOLIA,"A.  MOREAU 
DE JUSTO",1007,"A.  MOREAU 
DE JUSTO 1007",1082617/09,100 personas,"""C.C""",SUSPENDIDO,95,2009-10-23 00:00:00,108,2011-09-30 00:00:00,,,95,2009-10-23 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107AAU
-58.376148,-34.604598,112,NON SERVIAM,SARMIENTO ,667,SARMIENTO  667,1927/09,1100 personas,"""C""",INSCRIPCION VENCIDA,104,12/112009,129,2011-11-11 00:00:00,,,104,2009-11-12 00:00:00,,,San Nicolas,Comuna 1,1041,C1041AAM
-58.379826,-34.598451,113,LA CAPILLA,SUIPACHA ,842,SUIPACHA  842,1445687/09,220 personas,"""C.C""",BAJA PREVENTIVA POR DISFC Nº107/16,113,2009-12-18 00:00:00,116,2015-12-17 00:00:00,,,113,2009-12-18 00:00:00,,,Retiro,Comuna 1,1008,C1008AAR
,,114,MÓDENA DESIGN,"FIGUEROA 
ALCORTA ",2270,"FIGUEROA 
ALCORTA  2270", 48.226/09.,581 personas,"""C""",INSCRIPCIÓN VENCIDA,116,2009-12-30 00:00:00,1,2014-01-06 00:00:00,,,116,2009-12-30 00:00:00,,,Recoleta,Comuna 2,1425,C1425CKO
,,115,HIPOLITO CLUB,"HIPOLITO
 YRIGOYEN ",847/8,"HIPOLITO
 YRIGOYEN  847",18225/10,958 personas,"""C""",BAJA PROVISORIA,4,2010-01-15 00:00:00,126,2014-11-28 00:00:00,,,4,2010-01-15 00:00:00,,,Monserrat,Comuna 1,1086,C1086AAM
-58.450018,-34.588747,116,NEO CLUB,SANTOS DUMONT,4056/60,SANTOS DUMONT 4056,1544367/09,500 personas,"""C""",INSCRIPCIÓN VENCIDA,10,2010-01-29 00:00:00,11,2012-02-24 00:00:00,,,10,2010-01-29 00:00:00,,,Chacarita,Comuna 15,1427,C1427EIN
-58.423242,-34.579654,117,GROOVE,AV. SANTA FE ,4389/99,AV. SANTA FE  4389,8553028/19,1685 personas,"""C""",RENOVADO 2019,51,2010-03-31 00:00:00,46,2019-03-29 00:00:00,,,51,2010-03-31 00:00:00,2019-11-06,2020-02-07,Palermo,Comuna 14,1425,C1425BHF
-58.370741,-34.614363,118,ESVEDRA,BALCARCE ,563,BALCARCE  563,30196522/19,586 personas,"""C""",RENOVADO 2019,123,2010-10-22 00:00:00,89,2019-10-11 00:00:00,,,123,2010-10-22 00:00:00,2019-09-27,2019-11-03,Monserrat,Comuna 1,1064,C1064AAK
-58.497344,-34.596989,119,LOOP,AV. BEIRO,3124/28,AV. BEIRO 3124,1527712/10,247 personas,"""C.C""",INSCRIPCION VENCIDA,150,2010-12-28 00:00:00,66,2016-05-24 00:00:00,,,150,2010-12-28 00:00:00,,,Villa Del Parque,Comuna 11,1419,C1419HYS
,,120,"TERRAZAS 
DEL ESTE","R. OBLIGADO 
Y SARMIENTO",,"R. OBLIGADO 
Y SARMIENTO ",36083286/2019,3095 personas,"""C""",RENOVADO 2019,10,2011-02-10 00:00:00,100,2019-12-04 00:00:00,, ,118,2016-12-27 00:00:00,,,,,,
-58.465257,-34.552355,121,VELVET/DISCOSIX,AV. CABILDO,3241,AV. CABILDO 3241,34433582/18,900 personas,"""C""",RENOVADO 2019,1,2011-01-10 00:00:00,7,2019-01-18 00:00:00,,,1,2011-01-10 00:00:00,,,Nu\u00f1ez,Comuna 13,1429,C1429AAD
-58.379627,-34.601523,122,YOUR CLUB,SUIPACHA ,586,SUIPACHA  586,8061851/19,520personas,"""C""",RENOVADO 2019,43,2011-03-23 00:00:00,41,2019-03-22 00:00:00,,,43,2011-03-23 00:00:00,2019-09-18,2019-09-30,San Nicolas,Comuna 1,1008,C1008AAL
-58.435649,-34.586684,123,WANNA,DARWIN ,1574,DARWIN  1574,12638018/19,539 personas,"""C""",RENOVADO 2019,59,2011-04-28 00:00:00,55,2019-05-03 00:00:00,,,31,2017-03-10 00:00:00,2019-09-27,2019-12-28,Palermo,Comuna 14,1414,C1414CVF
-58.436026,-34.586454,,,Av. J. B. JUSTO,1634,Av. J. B. JUSTO 1634,,,,,,,,,,,,,,,Palermo,Comuna 14,1414,C1414CWS
-58.492733,-34.636326,124,RIVADAVIA 9131,Av. RIVADAVIA,9131,Av. RIVADAVIA 9131,316734/11,120 personas,"""C.C""",SUSPENDIDO,63,2011-05-13 00:00:00,70,2012-05-18 00:00:00,,,63,2011-05-13 00:00:00,,,Velez Sarsfield,Comuna 10,1407,C1407DZA
,,125,PIZZA BANANA,"AV. RAFAEL 
OBLIGADO",6201,"AV. RAFAEL 
OBLIGADO 6201",736109/11,1143 personas,"""C""",INSCRIPCION VENCIDA,68,2011-05-20 00:00:00,59,2015-05-29 00:00:00,,,68,2011-05-20 00:00:00,,,Belgrano,Comuna 13,1428,
-58.364337,-34.601026,126,WHO,EMMA DE LA BARRA,333,EMMA DE LA BARRA 333,990186/11,490 personas,"""C""",INSCRIPCION VENCIDA,89,2011-07-22 00:00:00,,,,,89,2011-07-22 00:00:00,,,Puerto Madero,Comuna 1,1107,C1107CQA
-58.374682,-34.614192,127,BOUTIQUE,PERÚ,529/35/41,PERÚ 529,22423336/19,1950 personas,"""C""",RENOVADO 2019,93,2011-08-18 00:00:00,71,2019-08-07 00:00:00,,,93,2011-08-18 00:00:00,2019-09-06,2019-12-03,Monserrat,Comuna 1,1068,C1068AAA
-58.436296,-34.586360,128,OPIUM GARDEN,AV. JUAN B. JUSTO ,1659/75,AV. JUAN B. JUSTO  1659,1653447/11,626 personas,,BAJA INSCRIPCION,111,2011-10-07 00:00:00,154,2013-10-10 00:00:00,,,111,2011-10-07 00:00:00,,,Palermo,Comuna 14,1414,C1414CWF
-58.434955,-34.608823,129,VIEJO CORREO,AV. DIAZ VELEZ,4820,AV. DIAZ VELEZ 4820,37589/09,300 personas,"""C""",INSCRIPCION VENCIDA,119,2011-11-04 00:00:00,133,2015-12-18 00:00:00,,,119,2011-11-04 00:00:00,,,Caballito,Comuna 6,1405,C1405DCQ
-58.434511,-34.585567,130,ROSEBAR,HONDURAS,5445,HONDURAS 5445,24959239/17,1370 personas,"""C""",INSCRIPCION VENCIDA,139,2011-11-29 00:00:00,105,2017-11-15 00:00:00,,,139,2011-11-29 00:00:00,,,Palermo,Comuna 14,1414,C1414BNA
-58.389387,-34.604922,131,OYE CHICO,MONTEVIDEO ,306/50,MONTEVIDEO  306,29298431/17,200 personas,"""C.C""",BAJA INSCRIPCION POR DISFC Nº 06/18,146,2011-12-22 00:00:00,116,2016-12-21 00:00:00,,,146,2011-12-22 00:00:00,,,San Nicolas,Comuna 1,1019,C1019ABH
-58.499948,-34.598601,132,ONE MORE CLUB,AV. BEIRO,3334/6,AV. BEIRO 3334,5429593/19,480 personas,"""C""",RENOVADO 2019,12,2012-02-24 00:00:00,27,2019-03-01 00:00:00,, ,12,2012-02-24 00:00:00,,,Villa Del Parque,Comuna 11,1419,C1419HYU
-58.435428,-34.586013,133,BK,AV. JUAN B. JUSTO ,1574,AV. JUAN B. JUSTO  1574,6944892/18,961 personas,"""C""",INSCRIPCION VENCIDA,33,2012-03-09 00:00:00,39,2018-03-22 00:00:00,,,49,2014-03-27 00:00:00,,,Palermo,Comuna 14,1414,C1414CWR
-58.424528,-34.590511,134,ROOM,Av. SCALABRINI ORTIZ,1648/50,Av. SCALABRINI ORTIZ 1648,18286906/18,784 personas,"""C""",INSCRIPCION VENCIDA,96,2012-07-06 00:00:00,63,2018-07-06 00:00:00,,,96,2012-07-06 00:00:00,,,Palermo,Comuna 14,1414,C1414DOQ
-58.443025,-34.581492,135,FRIDHA,Av. DORREGO,1735/9,Av. DORREGO 1735,21973407/19,187personas,"""C.C""",RENOVADO 2019,131,2012-10-18 00:00:00,66,2019-07-18 00:00:00,,,131,2012-10-18 00:00:00,2019-07-24,2019-09-28,Palermo,Comuna 14,1414,C1414CKM
-58.407866,-34.567268,136,POUND,Av. SARMIENTO Y CASARES,,Av. SARMIENTO Y CASARES ,1670344/12,894 personas,C,INSCRIPCION VENCIDA,142,2012-11-07 00:00:00,131,2014-12-05 00:00:00,,,142,2012-11-07 00:00:00,,,,,,
-58.438471,-34.587422,137,LARC,AV. NICETO VEGA,5452,AV. NICETO VEGA 5452,32305510/19,980 personas,C,RENOVADO 2019,144,2012-11-16 00:00:00,97,2019-11-15 00:00:00,,,144,2012-11-16 00:00:00,2019-09-10,2019-12-06,Palermo,Comuna 14,1414,C1414BFB
-58.370716,-34.614905,138,GOLDEN CLUB,BALCARCE ,605,BALCARCE  605,33906832/18,425 personas,C,RENOVADO 2019,1,2013-01-02 00:00:00,3,2019-01-10 00:00:00,,,1,2013-01-02 00:00:00,,,Monserrat,Comuna 1,1064,C1064AAM
-58.453942,-34.552260,139,UGARTE,UGARTE,1640,UGARTE 1640,15163523/19,992 personas,C,RENOVADO 2019,82,2013-05-10 00:00:00,59,2019-05-24 00:00:00,,,149,2013-09-23 00:00:00,2019-05-14,2019-08-11,Belgrano,Comuna 13,1428,C1428BRD
-58.379823,-34.609022,140,LP,AV. DE MAYO  ,948,AV. DE MAYO   948,22621111/19,200 personas,C,RENOVADO 2019,145,2013-08-28 00:00:00,72,2019-08-07 00:00:00,,,145,2013-08-28 00:00:00,2019-12-09,2020-03-03,Monserrat,Comuna 1,1084,C1084AAR
-58.435133,-34.558357,141,GOLF DE PALERMO,AV. TORNQUIST,6385,AV. TORNQUIST 6385,28061638/19,950 personas,C,RENOVADO 2019,147,2013-09-10 00:00:00,82,2019-09-19 00:00:00,,,147,2013-09-10 00:00:00,2019-09-18,2019-11-17,Palermo,Comuna 14,1426,C1426CDA
-58.476120,-34.632298,142,ECLIPTICO,AV. RIVADAVIA,7927,AV. RIVADAVIA 7927,12873801/19,743 personas,"""C.C""",RENOVADO 2019,75,2014-05-23 00:00:00,56,2019-05-09 00:00:00,,,75,2014-05-23 00:00:00,2019-10-02,2019-12-15,Floresta,Comuna 10,1407,C1407DYB
-58.438028,-34.587701,143,JAGER,AV. NICETO VEGA,5422,AV. NICETO VEGA 5422,28384131/19,950 personas,C,RENOVADO 2019,107,2014-10-16 00:00:00,85,2019-09-26 00:00:00,,,107,2014-10-16 00:00:00,2019-09-10,2019-12-06,Palermo,Comuna 14,1414,C1414BFB
-58.398577,-34.595866,144,KUMA ,URIBURU,1073,URIBURU 1073,35743722/19,508 personas,C,RENOVADO 2019,130,2014-12-05 00:00:00,98,2019-11-27 00:00:00,,,130,2014-12-05 00:00:00,,,Recoleta,Comuna 2,1114,C1114AAE
-58.425776,-34.596613,145,VOLT CLUB,AV. CORDOBA,4175/79,AV. CORDOBA 4175,22612577/19,350 personas,C,RENOVADO 2019,63,2015-06-19 00:00:00,74,2019-08-08 00:00:00,,,63,2015-06-19 00:00:00,2019-07-25,2019-08-10,Palermo,Comuna 14,1188,C1188AAH
-58.434013,-34.586029,146,VITA,HONDURAS,5450,HONDURAS 5450,28772732/19,756 personas,C,RENOVADO 2019,103,2015-10-29 00:00:00,84,2019-09-26 00:00:00,,,103,2015-10-29 00:00:00,2019-09-27,2019-12-30,Palermo,Comuna 14,1414,C1414BNB
-58.428954,-34.551012,147,PACHA BS AS,AV. RAFAEL OBLIGADO,6151,AV. RAFAEL OBLIGADO 6151,32156026/15,1942 personas,C,BAJA INSCRIPCION DISP Nº 03/16.,121,2015-12-23 00:00:00,,,,,,,,,Belgrano,Comuna 13,1428,
-58.425077,-34.596878,148,SITGES,AV. CORDOBA,4119,AV. CORDOBA 4119,6882708/19,203 personas,CC,RENOVADO 2019,33,2016-03-15 00:00:00,33,2019-03-13 00:00:00,,,33,2016-03-15 00:00:00,2019-08-13,2019-11-10,Palermo,Comuna 14,1188,C1188AAH
-58.436432,-34.585559,149,BLACK ,GORRITI,5516,GORRITI 5516,29474607/19,205 personas,CC,RENOVADO 2019,92,2016-10-23 00:00:00,83,2019-09-20 00:00:00,,,92,2016-10-23 00:00:00,2019-09-20,2019-09-28,Palermo,Comuna 14,1414,C1414BKD
,,150,JET,"AV. RAFAEL 
OBLIGADO",4801,"AV. RAFAEL 
OBLIGADO 4801",28901114/19,602 personas,C,RENOVADO 2019,96,2016-10-07 00:00:00,87,2019-10-03 00:00:00,,,87,2019-10-03 00:00:00,2019-12-18,2020-03-22,Palermo,Comuna 14,1428,
-58.436459,-34.552903,151,MINA,SUCRE,646/8,SUCRE 646,23211628/19,402 personas,C,RENOVADO 2019,99,2016-10-20 00:00:00,81,2019-08-28 00:00:00,,,81,2019-08-28 00:00:00,,,Belgrano,Comuna 13,1428,C1428DUB
,,152,NIX PREVIUS,"HIPOLITO
 YRIGOYEN ",847/8,"HIPOLITO
 YRIGOYEN  847",25827534/17,342 personas,C,DENEGATORIA RENOVACION DISFC Nº 108/17,113,2016-11-25 00:00:00,,,,,113,2016-11-25 00:00:00,,,Monserrat,Comuna 1,1086,C1086AAM
-58.435462,-34.553124,153,OLIVIA ´S ,FIGUEROA ALCORTA,6438/42,FIGUEROA ALCORTA 6438,13064040/18,562 personas,C,INSCRIPCION VENCIDA,57,2017-06-06 00:00:00,57,2018-06-07 00:00:00,,,57,2017-06-06 00:00:00,,,Belgrano,Comuna 13,1428,C1428BCN
,,154,BRANDY,"AV. RAFAEL 
OBLIGADO",6920,"AV. RAFAEL 
OBLIGADO 6920",22314831/19,394 personas,C,RENOVADO 2019,70,2017-07-21 00:00:00,67,2019-07-19 00:00:00,,,70,2017-07-21 00:00:00,2019-11-29,2019-12-22,Belgrano,Comuna 13,1428,C1428EIV
-58.392393,-34.588431,155,AFRIKA,JUNIN,1787,JUNIN 1787,25198394/19,250 personas,C,RENOVADO 2019,79,2017-08-17 00:00:00,75,2019-08-16 00:00:00,,,79,2017-08-17 00:00:00,2019-11-20,2020-02-17,Recoleta,Comuna 2,1113,C1113AAS
,,156,ROSE IN RIO,"AV. RAFAEL 
OBLIGADO",1221,"AV. RAFAEL 
OBLIGADO 1221",23383908/19,1195 personas,C,RENOVADO 2019,81,2017-08-25 00:00:00,77,2019-08-21 00:00:00,,,101,2017-10-25 00:00:00,2019-12-13,2020-02-13,Palermo,Comuna 14,1425,
-58.435554,-34.585813,157,BEE,AV. JUAN B. JUSTO ,1579,AV. JUAN B. JUSTO  1579,31478352/19,376 personas,C.C,RENOVADO 2019,97,2017-10-18 00:00:00,92,2019-10-17 00:00:00,,,97,2017-10-18 00:00:00,2019-10-09,2019-12-28,Palermo,Comuna 14,1414,C1414CWE
-58.517859,-34.639008,158,FANTASY,AV. RIVADAVIA,10919/23,AV. RIVADAVIA 10919,12797214/19,1852 personas,C,RENOVADO 2019,45,2018-03-28 00:00:00,58,2019-05-23 00:00:00,,,45,2018-03-28 00:00:00,2019-05-03,2019-07-11,Liniers,Comuna 9,1408,C1408AAJ
,,159,BNN(BANANA),"AV. RAFAEL 
OBLIGADO",6201,"AV. RAFAEL 
OBLIGADO 6201",10450369/19,956 personas,C,RENOVADO 2019,48,2018-04-13 00:00:00,49,2019-04-11 00:00:00,,,48,2018-04-13 00:00:00,,,Belgrano,Comuna 13,1428,
-58.436476,-34.590160,160,HOOD CLUB,AV. CORDOBA,5208/5210,AV. CORDOBA 5208,11847293/19,505 personas,C,INSCRIPCION 2019,60,2019-05-27 00:00:00,,,,,60,2019-05-27 00:00:00,2019-08-29,2019-11-21,Villa Crespo,Comuna 15,1414,C1414BAX
